time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-24 00:00:00+00:00,17,8,0,0
2026-01-25 00:00:00+00:00,4,3,0,0
2026-01-26 00:00:00+00:00,11,6,1,1
2026-01-27 00:00:00+00:00,4,3,0,0
2026-01-28 00:00:00+00:00,15,7,0,0
2026-01-29 00:00:00+00:00,5,4,0,0
2026-01-30 00:00:00+00:00,15,7,0,0
2026-01-31 00:00:00+00:00,11,6,1,1
2026-02-01 00:00:00+00:00,14,9,1,1
2026-02-02 00:00:00+00:00,4,3,1,1
2026-02-03 00:00:00+00:00,9,4,0,0
2026-02-04 00:00:00+00:00,6,5,2,2
2026-02-05 00:00:00+00:00,10,6,0,0
2026-02-06 00:00:00+00:00,3,3,1,1
